SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmR,UmG,Udet,zlya,zabs,zneb,type,comments,FULL_ID,z_best,GmRs,Comments,Umg,UmGa,G-R,Un-G,udet,zem,notes,NBmag,NBcol
Q0207-BX200,1133216600.0,7.0,32.50552,-0.09756,639.83,1750.12,BX200,Q0207,24.9,0.2,0.74,yes,-2.0,2.111,-1.0,GAL,nz;  m9,Q0207-BX200,2.111,,,,,,,,,,,
Q0207-BX204,942937150.0,18.0,32.50744,-0.11006,427.44,1782.37,BX204,Q0207,23.96,0.1,0.49,yes,-2.0,1.716,-1.0,GAL,LM1; from LM1.btot; check again; m3+m9+y1,Q0207-BX204,1.716,,,,,,,,,,,
Q0207-BX206,4537754100.0,11.0,32.50675,-0.08507,851.94,1771.54,BX206,Q0207,24.1,0.16,0.8,yes,2.117,2.111,-1.0,GAL,nz;  m2[ap1]; also abs @1.826 strong CIV,Q0207-BX206,2.111,,,,,,,,,,,
Q0207-BX209,3153084200.0,19.0,32.49832,-0.09978,602.36,1627.32,BX209,Q0207,23.96,0.47,1.02,yes,-2.0,1.83,-1.0,GAL,nz;  m1; has CIII] em,Q0207-BX209,1.83,,,,,,,,,,,
Q0207-BX211,4073900000.0,81.0,32.50122,-0.0877,807.45,1677.2,BX211,Q0207,23.27,0.39,1.34,yes,2.5519,2.5427,2.5468,GAL,"LM1; [ap1] is target- strong int. abs.at z=2.3736!; mosfire 2012oct, 2013sep, msfr2 10/9/13 also",Q0207-BX211,2.5468,,,,,,,,,,,
Q0207-BX213,3941703400.0,62.0,32.50442,-0.04859,1471.67,1733.18,BX213,Q0207,23.58,0.48,0.94,yes,2.683,2.673,-1.0,GAL,strong NV abs,Q0207-BX213,2.673,,,,,,,,,,,
Q0207-BX22,1787269200.0,14.0,32.4106,-0.09192,738.75,132.62,BX22,Q0207,24.13,0.21,0.73,yes,-2.0,1.631,-2.0,GAL,"LM1; re-check; m9,m10; msfr bx418 10/12 9/13",Q0207-BX22,1.631,,,,,,,,,,,
Q0207-BX223,69472076000.0,27.0,32.50276,-0.05013,1445.57,1704.84,BX223,Q0207,24.58,0.2,0.62,yes,-2.0,2.111,-2.0,GAL,"rk_H,K; m7; prob corr",Q0207-BX223,2.111,,,,,,,,,,,
Q0207-BX227,8557945300.0,6.0,32.50063,-0.08874,789.81,1667.1,BX227,Q0207,24.12,0.17,0.47,yes,-2.0,-2.0,1.636,GAL,"rk_H,K; zneb msfr hiprijk1_J; nz; m9; rem. uncertain z 2/14/2011",Q0207-BX227,1.636,,,,,,,,,,,
Q0207-BX229,12810822000.0,10.0,32.49985,-0.11525,339.53,1652.83,BX229,Q0207,24.4,0.37,1.09,yes,-2.0,2.5471,2.5459,GAL,LM1; zneb msfr jhk1 oct15; nz; m1[ap1],Q0207-BX229,2.5459,,,,,,,,,,,
