group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
Primary,GNB1104,50,50,150,50,^GNB,0,2.8400,True,,,237.9369167,19.1839306,15:51:44.860,+19:11:02.150,circle,,green,GNB1104,2.8400,color=green width=2 text={GNB1104} comment={2.8400},71
Primary,GNB1144,50,50,150,50,^GNB,0,2.8487,True,,,237.9415000,19.1395278,15:51:45.960,+19:08:22.300,circle,,green,GNB1144,2.84874,color=green width=2 text={GNB1144} comment={2.84874},72
Primary,GNB1145,50,50,150,50,^GNB,0,2.8474,True,,,237.9388333,19.1582139,15:51:45.320,+19:09:29.570,circle,,green,GNB1145,2.84743,color=green width=2 text={GNB1145} comment={2.84743},73
Primary,GNB1179,25,50,150,50,^GNB,1,2.8421,False,,,237.9381250,19.2095222,15:51:45.150,+19:12:34.280,circle,,green,GNB1179,2.84208,color=green width=2 text={GNB1179} comment={2.84208},74
Primary,GNB1230,50,50,150,50,^GNB,0,2.8401,True,,,237.9393333,19.1865806,15:51:45.440,+19:11:11.690,circle,,green,GNB1230,2.8401,color=green width=2 text={GNB1230} comment={2.8401},75
Primary,GNB1256,50,50,150,50,^GNB,0,2.8466,True,,,237.9393750,19.1500056,15:51:45.450,+19:09:00.020,circle,,green,GNB1256,2.8466,color=green width=2 text={GNB1256} comment={2.8466},76
Primary,GNB126,25,50,150,50,^GNB,1,2.8547,False,,,237.9152917,19.2209361,15:51:39.670,+19:13:15.370,circle,,green,GNB126,2.8547,color=green width=2 text={GNB126} comment={2.8547},77
Primary,GNB1266,50,50,150,50,^GNB,0,2.8358,True,,,237.9401667,19.1912778,15:51:45.640,+19:11:28.600,circle,,green,GNB1266,2.83583,color=green width=2 text={GNB1266} comment={2.83583},78
Primary,GNB1276,50,50,150,50,^GNB,0,2.8473,True,,,237.9402917,19.1662000,15:51:45.670,+19:09:58.320,circle,,green,GNB1276,2.84726,color=green width=2 text={GNB1276} comment={2.84726},79
Primary,GNB1281,50,50,150,50,^GNB,0,2.8346,True,,,237.9396667,19.1914583,15:51:45.520,+19:11:29.250,circle,,green,GNB1281,2.83459,color=green width=2 text={GNB1281} comment={2.83459},80
Primary,GNB1330,50,50,150,50,^GNB,0,2.8365,True,,,237.9411250,19.1625028,15:51:45.870,+19:09:45.010,circle,,green,GNB1330,2.8365,color=green width=2 text={GNB1330} comment={2.8365},81
Primary,GNB1393,25,50,150,50,^GNB,1,2.8446,False,,,237.9437500,19.2107222,15:51:46.500,+19:12:38.600,circle,,green,GNB1393,2.8446,color=green width=2 text={GNB1393} comment={2.8446},82
Primary,GNB1514,25,50,150,50,^GNB,1,2.9416,False,,,237.9586667,19.2077444,15:51:50.080,+19:12:27.880,circle,,green,GNB1514,2.94161,color=green width=2 text={GNB1514} comment={2.94161},83
Primary,GNB1521,50,50,150,50,^GNB,0,2.8846,True,,,237.9457500,19.1394472,15:51:46.980,+19:08:22.010,circle,,green,GNB1521,2.88461,color=green width=2 text={GNB1521} comment={2.88461},84
Primary,GNB1562,50,50,150,50,^GNB,0,2.8473,True,,,237.9458333,19.1841778,15:51:47.000,+19:11:03.040,circle,,green,GNB1562,2.8473,color=green width=2 text={GNB1562} comment={2.8473},85
Primary,GNB1623,50,50,150,50,^GNB,0,2.8687,True,,,237.9467917,19.1648500,15:51:47.230,+19:09:53.460,circle,,green,GNB1623,2.8687,color=green width=2 text={GNB1623} comment={2.8687},86
Primary,GNB1627,25,50,150,50,^GNB,1,2.7940,False,,,237.9477917,19.2000694,15:51:47.470,+19:12:00.250,circle,,green,GNB1627,2.79404,color=green width=2 text={GNB1627} comment={2.79404},87
Primary,GNB1664,50,50,150,50,^GNB,0,2.8712,True,,,237.9479167,19.1473500,15:51:47.500,+19:08:50.460,circle,,green,GNB1664,2.8712,color=green width=2 text={GNB1664} comment={2.8712},88
Primary,GNB1737,50,50,150,50,^GNB,0,2.8405,True,,,237.9497500,19.1509194,15:51:47.940,+19:09:03.310,circle,,green,GNB1737,2.8405,color=green width=2 text={GNB1737} comment={2.8405},89
Primary,GNB1772,50,50,150,50,^GNB,0,2.8451,True,,,237.9507500,19.1417444,15:51:48.180,+19:08:30.280,circle,,green,GNB1772,2.84512,color=green width=2 text={GNB1772} comment={2.84512},90
Primary,GNB1867,25,50,150,50,^GNB,1,2.8485,False,,,237.9522083,19.2008611,15:51:48.530,+19:12:03.100,circle,,green,GNB1867,2.8485,color=green width=2 text={GNB1867} comment={2.8485},91
Primary,GNB1942,50,50,150,50,^GNB,0,2.8407,True,,,237.9545833,19.1895778,15:51:49.100,+19:11:22.480,circle,,green,GNB1942,2.8407,color=green width=2 text={GNB1942} comment={2.8407},92
Primary,GNB1962,25,50,150,50,^GNB,1,2.7916,False,,,237.9581250,19.2187389,15:51:49.950,+19:13:07.460,circle,,green,GNB1962,2.79157,color=green width=2 text={GNB1962} comment={2.79157},93
Primary,GNB1972,50,50,150,50,^GNB,0,2.8405,True,,,237.9551250,19.1867611,15:51:49.230,+19:11:12.340,circle,,green,GNB1972,2.84052,color=green width=2 text={GNB1972} comment={2.84052},94
Primary,GNB1982,50,50,150,50,^GNB,0,2.8422,True,,,237.9554583,19.1456667,15:51:49.310,+19:08:44.400,circle,,green,GNB1982,2.84216,color=green width=2 text={GNB1982} comment={2.84216},95
Primary,GNB2041,50,50,150,50,^GNB,0,2.8426,True,,,237.9571250,19.1803139,15:51:49.710,+19:10:49.130,circle,,green,GNB2041,2.8426,color=green width=2 text={GNB2041} comment={2.8426},96
Primary,GNB2044,50,50,150,50,^GNB,0,2.8417,True,,,237.9645833,19.1827361,15:51:51.500,+19:10:57.850,circle,,green,GNB2044,2.8417,color=green width=2 text={GNB2044} comment={2.8417},97
Primary,GNB2063,50,50,150,50,^GNB,0,2.8682,True,,,237.9565417,19.1815722,15:51:49.570,+19:10:53.660,circle,,green,GNB2063,2.86824,color=green width=2 text={GNB2063} comment={2.86824},98
