name,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments,attrs_raw,order_in_file
LAE1469,237.9975375,19.1530106,15:51:59.409,+19:09:10.838,point,cross,cyan,'LAE1469',,point=cross 14 color=cyan width=2 text={'LAE1469'},157
LAE1470,238.0132667,19.1525203,15:52:03.184,+19:09:09.073,point,cross,cyan,'LAE1470',,point=cross 14 color=cyan width=2 text={'LAE1470'},158
LAE1473,237.8249625,19.1540881,15:51:17.991,+19:09:14.717,point,cross,cyan,'LAE1473',,point=cross 14 color=cyan width=2 text={'LAE1473'},159
LAE1477,237.9075125,19.1549006,15:51:37.803,+19:09:17.642,point,cross,cyan,'LAE1477',,point=cross 14 color=cyan width=2 text={'LAE1477'},160
LAE1478,238.0513292,19.1552056,15:52:12.319,+19:09:18.740,point,cross,cyan,'LAE1478',,point=cross 14 color=cyan width=2 text={'LAE1478'},161
LAE1480,237.9958167,19.1556803,15:51:58.996,+19:09:20.449,point,cross,cyan,'LAE1480',,point=cross 14 color=cyan width=2 text={'LAE1480'},162
LAE1482,237.8493875,19.1544761,15:51:23.853,+19:09:16.114,point,cross,cyan,'LAE1482',,point=cross 14 color=cyan width=2 text={'LAE1482'},163
LAE1483,238.0141958,19.1562717,15:52:03.407,+19:09:22.578,point,cross,cyan,'LAE1483',,point=cross 14 color=cyan width=2 text={'LAE1483'},164
LAE1486,237.9360708,19.1567978,15:51:44.657,+19:09:24.472,point,cross,cyan,'LAE1486',,point=cross 14 color=cyan width=2 text={'LAE1486'},165
LAE1499,238.1062125,19.1594439,15:52:25.491,+19:09:33.998,point,cross,cyan,'LAE1499',,point=cross 14 color=cyan width=2 text={'LAE1499'},166
LAE1500,238.0692375,19.1596964,15:52:16.617,+19:09:34.907,point,cross,cyan,'LAE1500',,point=cross 14 color=cyan width=2 text={'LAE1500'},167
LAE1503,237.9387417,19.1581475,15:51:45.298,+19:09:29.331,point,cross,cyan,'LAE1503',,point=cross 14 color=cyan width=2 text={'LAE1503'},168
LAE1505,237.9082208,19.1603019,15:51:37.973,+19:09:37.087,point,cross,cyan,'LAE1505',,point=cross 14 color=cyan width=2 text={'LAE1505'},169
LAE1508,237.9389333,19.1605939,15:51:45.344,+19:09:38.138,point,cross,cyan,'LAE1508',,point=cross 14 color=cyan width=2 text={'LAE1508'},170
LAE1510,237.8658792,19.1603194,15:51:27.811,+19:09:37.150,point,cross,cyan,'LAE1510',,point=cross 14 color=cyan width=2 text={'LAE1510'},171
LAE1512,237.7867625,19.1599742,15:51:08.823,+19:09:35.907,point,cross,cyan,'LAE1512',,point=cross 14 color=cyan width=2 text={'LAE1512'},172
LAE1515,237.9175333,19.1612350,15:51:40.208,+19:09:40.446,point,cross,cyan,'LAE1515',,point=cross 14 color=cyan width=2 text={'LAE1515'},173
LAE1517,238.0440208,19.1612067,15:52:10.565,+19:09:40.344,point,cross,cyan,'LAE1517',,point=cross 14 color=cyan width=2 text={'LAE1517'},174
