ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave,config,group,name,final_weight,pre_footprint_weight,base_weight,type_override_weight,type_rule,downgraded,z_guess,footprint_ok,local_mean,stamp_bounds,ra_deg,dec_deg,ra_hms,dec_dms,shape,pointsym,color,text,comments_x,attrs_raw,order_in_file,SED_ID,stellar_mass,SFR,RA,DEC,X,Y,NAME,FIELD,Rs,GmRs,UmG,Udet,zlya,zabs,zneb,type,comments_y,FULL_ID,NBmag,NBcol,Comments,z_best
99,237.9637083,19.1771556,Contaminant,0.024447,0.014034,257.9957,237.95708971,19.15817917,307.998,-442.3599,4,190,34,0.508,0.872,-1.0,3.02352548,-2.0,-2.0,c4e1n1,Primary,GNB2232,25,50,150,50.0,^GNB,1,2.9152,False,,,237.9599583,19.1749972,15:51:50.390,+19:10:29.990,circle,,green,GNB2232,2.91521,color=green width=2 text={GNB2232} comment={2.91521},100,,,,,,,,,,,,,,,,,,,,,,,
102,237.96675,19.1779778,Primary,0.024755,0.01819,257.9957,237.95708971,19.15817917,300.3384,-434.805,4,193,55,0.441,0.298,-1.0,3.03649378,-2.0,-2.0,c4e1n1,Primary,GNB2273,50,50,150,50.0,^GNB,0,2.8463,True,,,237.9615833,19.1761833,15:51:50.780,+19:10:34.260,circle,,green,GNB2273,2.84627,color=green width=2 text={GNB2273} comment={2.84627},103,,,,,,,,,,,,,,,,,,,,,,,
154,237.9891667,19.1469694,Primary,-0.024519,0.038194,257.9957,237.95708971,19.15817917,360.1164,-313.556,2,175,153,0.613,0.539,-1.0,1.74502194,1.90983653,-2.0,c4e1n1,Primary,GNB4790,25,50,150,50.0,^GNB,1,2.7355,False,,,238.0000833,19.1484361,15:52:00.020,+19:08:54.370,circle,,green,GNB4790,2.73547,color=green width=2 text={GNB4790} comment={2.73547},155,Q1549-GNB4790,295419710000.0,148.0,238.0000245,19.1484525,229.08,1432.31,GNB4790,Q1549,,,,,2.7355,-1.0,,,,Q1549-GNB4790,26.71,0.7,,2.7355
155,237.988125,19.1467556,Primary,-0.024522,0.036779,257.9957,237.95708971,19.15817917,362.5278,-316.2634,2,175,146,0.596,0.584,-1.0,1.74395931,1.90876353,-2.0,c4e1n1,Primary,GNB4798,50,50,150,50.0,^GNB,0,2.8425,True,,,237.9983333,19.1944528,15:51:59.600,+19:11:40.030,circle,,green,GNB4798,2.8425,color=green width=2 text={GNB4798} comment={2.8425},156,,,,,,,,,,,,,,,,,,,,,,,
158,237.9862917,19.1381194,Primary,-0.035967,0.031922,257.9957,237.95708971,19.15817917,392.6717,-306.416,2,66,122,0.587,0.701,-1.0,-1.0,-1.0,-2.0,c4e1n1,Primary,GNB5053,50,50,150,50.0,^GNB,0,2.8332,True,,,237.994875,19.2167028,15:51:58.770,+19:13:00.130,circle,,green,GNB5053,2.8332,color=green width=2 text={GNB5053} comment={2.8332},159,,,,,,,,,,,,,,,,,,,,,,,
169,237.9819167,19.152225,Primary,-0.015182,0.0303,257.9957,237.95708971,19.15817917,355.7526,-344.3289,2,264,114,0.575,0.758,-1.0,1.98766911,2.15242338,-2.0,c4e1n1,Primary,GNB5403,50,50,150,50.0,^GNB,0,2.8668,True,,,237.9863333,19.217625,15:51:56.720,+19:13:03.450,circle,,green,GNB5403,2.86676,color=green width=2 text={GNB5403} comment={2.86676},170,,,,,,,,,,,,,,,,,,,,,,,
199,237.9686375,19.1844775,Filler,0.033248,0.022537,257.9957,237.95708971,19.15817917,276.8032,-440.7109,4,274,76,0.327,0.668,-1.0,-2.0,-2.0,-2.0,c4e1n1,Primary,NB142,25,50,150,50.0,^NB,1,2.8472,False,,,237.915745,19.181722,15:51:39.779,+19:10:54.199,circle,,green,NB142,2.8472,color=green width=2 text={NB142} comment={2.8472},199,,,,,,,,,,,,,,,,,,,,,,,
256,237.9437,19.16866,Filler,0.018161,-0.014026,257.9957,237.95708971,19.15817917,368.0617,-486.6008,3,130,137,0.677,0.842,-1.0,2.8247571,2.98903275,-2.0,c4e1n1,Filler,D1,5,5,5,,,0,2.3838,True,,,237.92265,19.14026,15:51:41.436,+19:08:24.936,circle,,blue,D1,2.3838,color=blue  width=2 text={D1} comment={2.3838},25,Q1549-D1,947548540.0,18.0,237.92265,19.14026,93.2473,185.9089,D1,Q1549,24.94,0.32,2.15,yes,2.386,2.382,-1.0,GAL,"m2,m8; z from m2",Q1549-D1,,,,2.382
267,237.96489,19.18969,Filler,0.041476,0.01925,257.9957,237.95708971,19.15817917,266.7177,-461.0291,4,352,60,0.714,0.524,-1.0,-2.0,-2.0,-2.0,c4e1n1,Filler,M17,5,5,5,,,0,3.2202,True,,,237.9836,19.21464,15:51:56.064,+19:12:52.704,circle,,blue,M17,3.2202,color=blue  width=2 text={M17} comment={3.2202},36,Q1549-M17,2235412700.0,17.0,237.983521,19.2146,1353.77,1170.53,M17,Q1549,25.3,0.66,2.3,no,3.2253,3.2225,-1.0,GAL,"on q1549-BX102 kcwi cube; strong Lya emission; possible add'l emission 4591 A --> 2.7766 if real, or 1086 if assoc. with M17",Q1549-M17,,,,3.2225
329,237.93839,19.18475,Contaminant,0.041754,-0.016077,257.9957,237.95708971,19.15817917,326.47,-530.7806,3,355,127,0.412,0.794,-1.0,-2.0,-2.0,-2.0,c4e1n1,Filler,BX139,1,1,1,,,0,1.8825,True,,,237.99915,19.17007,15:51:59.796,+19:10:12.252,circle,,blue,BX139,1.8825,color=blue  width=2 text={BX139} comment={1.8825},98,Q1549-BX139,2544550700.0,6.0,237.99915,19.17007,596.2466,1419.088,BX139,Q1549,24.49,0.09,0.4,yes,1.888,1.881,-1.0,GAL,nz; m2,Q1549-BX139,,,,1.881
402,237.9425417,19.1806861,Filler,0.03505,-0.011996,257.9957,237.95708971,19.15817917,332.2813,-511.2974,3,291,147,0.546,0.833,-1.0,-2.0,-2.0,-2.0,c4e1n1,Filler,GNB1386,5,10,1,10.0,^GNB,1,,False,,,237.9425,19.204775,15:51:46.200,+19:12:17.190,circle,,red,GNB1386,,color=red width=2 text={GNB1386},171,,,,,,,,,,,,,,,,,,,,,,,
606,237.92325,19.1721222,Filler,0.028454,-0.038869,257.9957,237.95708971,19.15817917,391.3565,-553.3007,3,228,15,0.779,0.805,-1.0,3.06130266,-2.0,-2.0,c4e1n1,Filler,GNB5,5,10,1,10.0,^GNB,1,,False,,,237.9147917,19.1812806,15:51:39.550,+19:10:52.610,circle,,red,GNB5,,color=red width=2 text={GNB5},374,,,,,,,,,,,,,,,,,,,,,,,
616,237.987875,19.1365361,Filler,-0.038608,0.033525,257.9957,237.95708971,19.15817917,394.9902,-298.9247,2,41,130,0.431,0.571,-1.0,-1.0,-1.0,-2.0,c4e1n1,Filler,GNB5151,10,10,1,10.0,^GNB,0,,True,,,237.99075,19.1625333,15:51:57.780,+19:09:45.120,circle,,red,GNB5151,,color=red width=2 text={GNB5151},384,,,,,,,,,,,,,,,,,,,,,,,
627,237.9237083,19.1726667,Filler,0.029078,-0.038136,257.9957,237.95708971,19.15817917,388.8835,-552.9057,3,234,19,0.719,0.408,-1.0,3.07892179,-2.0,-2.0,c4e1n1,Filler,GNB542,5,10,1,10.0,^GNB,1,,False,,,237.9229167,19.1690222,15:51:41.500,+19:10:08.480,circle,,red,GNB542,,color=red width=2 text={GNB542},395,,,,,,,,,,,,,,,,,,,,,,,
636,237.980375,19.1433611,Filler,-0.027033,0.025755,257.9957,237.95708971,19.15817917,386.1235,-333.2158,2,151,92,0.705,0.409,-1.0,-1.0,1.83309329,-2.0,c4e1n1,Filler,GNB5562,10,10,1,10.0,^GNB,0,,True,,,237.9807083,19.2159417,15:51:55.370,+19:12:57.390,circle,,red,GNB5562,,color=red width=2 text={GNB5562},404,,,,,,,,,,,,,,,,,,,,,,,
651,237.9758333,19.147325,Filler,-0.02026,0.021019,257.9957,237.95708971,19.15817917,381.2833,-353.6814,2,216,69,0.232,0.144,-1.0,1.84597409,2.01065135,-2.0,c4e1n1,Filler,GNB5771,10,10,1,10.0,^GNB,0,,True,,,237.9755,19.1500167,15:51:54.120,+19:09:00.060,circle,,red,GNB5771,,color=red width=2 text={GNB5771},419,,,,,,,,,,,,,,,,,,,,,,,
682,237.9350417,19.145575,Filler,-0.011219,-0.031583,257.9957,237.95708971,19.15817917,454.9212,-471.4311,1,301,51,0.242,0.617,-1.0,2.03230906,2.19631386,-2.0,c4e1n1,Filler,GNB181,5,10,1,10.0,^GNB,1,,False,,,237.9148333,19.2184778,15:51:39.560,+19:13:06.520,circle,,red,GNB181,,color=red width=2 text={GNB181},450,,,,,,,,,,,,,,,,,,,,,,,
934,237.9233125,19.1720858,Contaminant,0.028388,-0.038801,257.9957,237.95708971,19.15817917,391.3663,-553.0512,3,228,16,0.143,0.139,-1.0,3.06159449,-2.0,-2.0,c4e1n1,Filler,LAE1569,1,1,1,,,0,,True,,,238.0694542,19.1615933,15:52:16.669,+19:09:41.736,point,cross,cyan,'LAE1569',,point=cross 14 color=cyan width=2 text={'LAE1569'},702,,,,,,,,,,,,,,,,,,,,,,,
944,237.9615292,19.1761369,Filler,0.02363,0.010934,257.9957,237.95708971,19.15817917,314.8327,-447.0124,4,182,19,0.741,0.641,-1.0,2.99796414,-2.0,-2.0,c4e1n1,Filler,LAE1595,1,1,1,,,0,,True,,,238.0003875,19.1713733,15:52:00.093,+19:10:16.944,point,cross,cyan,'LAE1595',,point=cross 14 color=cyan width=2 text={'LAE1595'},712,,,,,,,,,,,,,,,,,,,,,,,
